#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D-01   0.1000D-01
#    number density nb   [cm^-3]:   0.2391D+24   0.2391D+24
#    mass array mb         [amu]:   0.5486D-03   0.2518D+01
#    mass array mb         [keV]:   0.5110D+03   0.2346D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.4000D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.2391D+24  0.1000D-01  0.1000D-01  0.2996D+01  0.2996D+01  0.1650D+01  0.4427D+00
# ab  =  0.5446E+02  0.2500E+06
# etab=  0.3160E+00  0.3160E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
    60   0.80000000E+03   0.2892633073382E+00   0.2156002430692E-03   0.2890477070951E+00
    61   0.81333333E+03   0.2874767209822E+00   0.2123922864780E-03   0.2872643286957E+00
    62   0.82666667E+03   0.2856844144093E+00   0.2092814790531E-03   0.2854751329303E+00
    63   0.84000000E+03   0.2838891847582E+00   0.2062637548493E-03   0.2836829210033E+00
    64   0.85333333E+03   0.2820935137774E+00   0.2033345927514E-03   0.2818901791847E+00
    65   0.86666667E+03   0.2802996106497E+00   0.2004902697144E-03   0.2800991203800E+00
    66   0.88000000E+03   0.2785094216762E+00   0.1977273835468E-03   0.2783116942926E+00
    67   0.89333333E+03   0.2767246680268E+00   0.1950418513185E-03   0.2765296261755E+00
    68   0.90666667E+03   0.2749468781149E+00   0.1924307227520E-03   0.2747544473921E+00
    69   0.92000000E+03   0.2731773947210E+00   0.1898909031449E-03   0.2729875038178E+00
    70   0.93333333E+03   0.2714173957553E+00   0.1874196408738E-03   0.2712299761144E+00
    71   0.94666667E+03   0.2696679187198E+00   0.1850138054057E-03   0.2694829049144E+00
    72   0.96000000E+03   0.2679298709945E+00   0.1826709764282E-03   0.2677472000181E+00
    73   0.97333333E+03   0.2662040406666E+00   0.1803888340048E-03   0.2660236518326E+00
    74   0.98666667E+03   0.2644911182613E+00   0.1781646938763E-03   0.2643129535674E+00
    75   0.10000000E+04   0.2627916901579E+00   0.1759965077023E-03   0.2626156936502E+00
    76   0.10133333E+04   0.2611062708925E+00   0.1738821607543E-03   0.2609323887317E+00
    77   0.10266667E+04   0.2594352920567E+00   0.1718199081625E-03   0.2592634721486E+00
    78   0.10400000E+04   0.2577791177785E+00   0.1698072837870E-03   0.2576093104947E+00
    79   0.10533333E+04   0.2561380563878E+00   0.1678427687276E-03   0.2559702136191E+00
    80   0.10666667E+04   0.2545123562944E+00   0.1659246347460E-03   0.2543464316596E+00
    81   0.10800000E+04   0.2529022217969E+00   0.1640512361070E-03   0.2527381705608E+00
    82   0.10933333E+04   0.2513078121170E+00   0.1622211644386E-03   0.2511455909525E+00
    83   0.11066667E+04   0.2497292450649E+00   0.1604325881987E-03   0.2495688124767E+00
    84   0.11200000E+04   0.2481666059340E+00   0.1586842596414E-03   0.2480079216743E+00
    85   0.11333333E+04   0.2466199494506E+00   0.1569749763916E-03   0.2464629744742E+00
    86   0.11466667E+04   0.2450893008147E+00   0.1553030813965E-03   0.2449339977333E+00
    87   0.11600000E+04   0.2435746583807E+00   0.1536675526793E-03   0.2434209908281E+00
    88   0.11733333E+04   0.2420759990320E+00   0.1520671809115E-03   0.2419239318510E+00
    89   0.11866667E+04   0.2405932857468E+00   0.1505008297049E-03   0.2404427849171E+00
    90   0.12000000E+04   0.2391264525808E+00   0.1489674115236E-03   0.2389774851693E+00
    91   0.12133333E+04   0.2376754266726E+00   0.1474661270246E-03   0.2375279605456E+00
    92   0.12266667E+04   0.2362401192240E+00   0.1459954715122E-03   0.2360941237525E+00
    93   0.12400000E+04   0.2348204284051E+00   0.1445547564304E-03   0.2346758736486E+00
    94   0.12533333E+04   0.2334162397731E+00   0.1431430649277E-03   0.2332730967082E+00
    95   0.12666667E+04   0.2320274326610E+00   0.1417595175083E-03   0.2318856731435E+00
    96   0.12800000E+04   0.2306538749248E+00   0.1404032701379E-03   0.2305134716547E+00
    97   0.12933333E+04   0.2292954297221E+00   0.1390735124642E-03   0.2291563562096E+00
    98   0.13066667E+04   0.2279519512317E+00   0.1377696049214E-03   0.2278141816268E+00
    99   0.13200000E+04   0.2266232915553E+00   0.1364905095227E-03   0.2264868010458E+00
   100   0.13333333E+04   0.2253092945691E+00   0.1352356597262E-03   0.2251740589094E+00
   101   0.13466667E+04   0.2240098034303E+00   0.1340043640380E-03   0.2238757990663E+00
   102   0.13600000E+04   0.2227246569159E+00   0.1327960944151E-03   0.2225918608215E+00
   103   0.13733333E+04   0.2214536892758E+00   0.1316099243214E-03   0.2213220793515E+00
   104   0.13866667E+04   0.2201967317256E+00   0.1304453874829E-03   0.2200662863382E+00
   105   0.14000000E+04   0.2189536214912E+00   0.1293018901544E-03   0.2188243196010E+00
   106   0.14133333E+04   0.2177241851764E+00   0.1281788602870E-03   0.2175960063162E+00
   107   0.14266667E+04   0.2165082532118E+00   0.1270757465407E-03   0.2163811774653E+00
   108   0.14400000E+04   0.2153056559788E+00   0.1259920173502E-03   0.2151796639615E+00
   109   0.14533333E+04   0.2141162229615E+00   0.1249273839306E-03   0.2139912955775E+00
   110   0.14666667E+04   0.2129397817331E+00   0.1238808857796E-03   0.2128159008473E+00
   111   0.14800000E+04   0.2117761592775E+00   0.1228522889763E-03   0.2116533069885E+00
   112   0.14933333E+04   0.2106251907282E+00   0.1218411325650E-03   0.2105033495956E+00
   113   0.15066667E+04   0.2094867031251E+00   0.1208469713992E-03   0.2093658561537E+00
   114   0.15200000E+04   0.2083605300243E+00   0.1198693754655E-03   0.2082406606488E+00
   115   0.15333333E+04   0.2072465030628E+00   0.1189079292430E-03   0.2071275951336E+00
   116   0.15466667E+04   0.2061444549221E+00   0.1179622310941E-03   0.2060264926910E+00
   117   0.15600000E+04   0.2050542215781E+00   0.1170318926870E-03   0.2049371896854E+00
